algorithm	ct_required	vector_source	hardware_multiply
secret-storage	yes	mach-crypto ownership contract	none
sha-256	yes	NIST FIPS 180-4	none
sha-384	yes	NIST FIPS 180-4	none
hmac-sha-256	yes	RFC 4231	none
hmac-sha-384	yes	RFC 4231	none
hkdf-sha-256	yes	RFC 5869	none
hkdf-sha-384	yes	RFC 5869	none
aes-128-gcm	yes	NIST SP 800-38D	none
aes-256-gcm	yes	NIST SP 800-38D	none
aes-128	yes	NIST FIPS 197 and SP 800-38A	none
aes-256	yes	NIST FIPS 197 and SP 800-38A	none
chacha20-poly1305	yes	RFC 8439	word
x25519	yes	RFC 7748	word
p-256-ecdh	yes	NIST CAVP KAS-ECC	word
ecdsa-p256-sha256	yes	RFC 6979	word
ecdsa-p384-sha384	yes	NIST P-384 with SHA-384 example	word
ed25519	yes	RFC 8032	word
rsa-pss-sha256	yes	NIST CAVP and RFC 8017	word
rsa-pss-sha384	yes	NIST CAVP and RFC 8017	word
rsa-pkcs1-sha256	yes	NIST CAVP and RFC 8017	word
rsa-pkcs1-sha384	yes	NIST CAVP and RFC 8017	word
der	no	ITU-T X.690	none
pem	no	RFC 7468	none
key-containers	yes	RFC 5208, RFC 5480, RFC 5958, RFC 8017, RFC 8410, SEC 1	none
