algorithm	module	assembly_required
aes-128-gcm,aes-256-gcm	crypto/aead/aes_gcm	yes
chacha20-poly1305	crypto/aead/chacha20_poly1305	yes
key-containers	crypto/encoding/keys	no
x25519	crypto/group/x25519	yes
sha-256,sha-384	crypto/hash	no
hkdf-sha-256,hkdf-sha-384	crypto/hkdf	yes
hmac-sha-256,hmac-sha-384	crypto/hmac	yes
aes-128-gcm,aes-256-gcm	crypto/internal/aes/software	yes
chacha20-poly1305	crypto/internal/chacha20	yes
ed25519	crypto/internal/ed25519	yes
hmac-sha-256,hmac-sha-384	crypto/internal/hmac	yes
p-256-ecdh,ecdsa-p256-sha256	crypto/internal/p256	yes
ecdsa-p384-sha384	crypto/internal/p384	yes
chacha20-poly1305	crypto/internal/poly1305	yes
rsa-pss-sha256,rsa-pss-sha384,rsa-pkcs1-sha256,rsa-pkcs1-sha384	crypto/internal/rsa	yes
sha-256,sha-384,sha-512	crypto/internal/lift	yes
x25519	crypto/internal/x25519	yes
secret-storage	crypto/secret	yes
ecdsa-p256-sha256,ecdsa-p384-sha384,ed25519,rsa-pss-sha256,rsa-pss-sha384,rsa-pkcs1-sha256,rsa-pkcs1-sha384	crypto/signature	yes
